"Collins_HG1" "Collins_HG2" "Collins_HG3" "Galbraith_Cuckoo" "Riordan_PJ1" "Riordan_PJ2" "Riordan_PJ3" "Riordan_PJ4" "Riordan_PJ5" "Rowling_HP1" "Rowling_HP2" "Rowling_HP3" "Rowling_HP4" "Rowling_HP5" "Rowling_HP6" "Rowling_HP7" "Rowling_Leopard"
"in" 1.43988062362528 1.51112161869299 1.42499426561664 1.37573844784333 1.16781809031432 1.14362454057111 1.04887629940408 1.05183392334053 1.17707848912313 1.20090192219052 1.16852414724755 1.10565329999107 1.11472926921621 1.17974201575488 1.09415854955033 1.11151531836237 1.712506486767
"s" 1.53387013943393 0.00689560060681285 1.7174478171114 1.29076636724124 0.0102941849293133 0.940062199604184 0.00400844445632132 0.9149824128844 0.964191598201829 1.26318936628754 1.36440391759541 1.42270250960079 1.20560393790231 1.3727430126144 1.25276556618682 1.36567428324222 0
"his" 0.488357896572774 0.648186457040408 0.574394066824681 1.12082220603706 0.708011163471657 0.678541136556404 0.591913631383448 0.833550109141907 0.858781584250504 1.16602095349619 1.31712259371834 1.32982048763062 1.30354663637511 1.21684317825797 1.28437203689337 1.29390018484288 2.4390243902439
"said" 0.054261988508086 0.0581200622574226 0.0363177612967352 0.806560384127755 0.775495264674932 0.612100650268589 1.05154859570829 0.973794632253978 0.797809125200227 0.989124612260661 1.37115839243499 1.31910333124944 1.3318187555219 1.47842511186563 1.40275263626699 0.972391552286939 0.311364815775817
"that" 0.910826235671444 0.868845676458419 1.01976450798991 1.29413827520164 0.769776273047536 0.778908679672038 0.748242965179979 0.76116583914858 0.696532837286209 0.85707523077498 0.819542947202522 0.787710994016254 0.866843367411334 0.982243908288924 1.21886044306525 1.06137177016557 0.570835495588998
"harry" 0 0 0 0.000674381592080063 0 0 0 0 0 1.65186301745294 1.86310930991782 1.82995445208538 1.60090874668686 1.53313995757726 1.5998620808551 1.54412632241318 1.97197716658018
"had" 0.196699708341812 0.145792698544043 0.139536661824298 1.28469693291252 0.600494120876607 0.541419281877297 0.49838326073595 0.482938801361729 0.495013692967499 0.873269966240205 0.758752673646291 0.82164865588997 0.945096554335479 0.879559882775317 0.948768784300204 0.984190034215598 0.985988583290088
"at" 0.534868172436848 0.557558563350868 0.432945943879501 0.563108629386852 0.679416205334675 0.566864574498162 0.633334224098768 0.608480269631406 0.630393220689299 0.778593051212737 0.768884385905663 0.734125212110387 0.859775337624637 0.819223648805642 0.749360687297072 0.699551657686711 1.08977685521536
"on" 0.749978198308189 0.778217782768879 0.789433442923771 0.822071160745596 0.665690625428924 0.627650551314673 0.554501483124449 0.560978092448285 0.608691158993438 0.792296288914081 0.670944500731735 0.668929177458248 0.621481761958854 0.653205315584737 0.539033991322587 0.550595823337397 0.363258951738454
"but" 0.896291774463921 0.894457907283724 0.778920406758926 0.465997680127323 0.805234021137393 0.845349165959853 0.864487854413297 0.904803374916588 0.857748152741177 0.601696709977203 0.520094562647754 0.514423506296329 0.499810677773571 0.521290071129299 0.638450708272275 0.592382113501396 0.778412039439543
"t" 0.765481623596213 0 0.78656625124245 0.720239540341507 0 0.981057393271134 0 0.953436556318355 0.961091303673849 1.0426918141841 0.808285489136553 0.810038403143699 0.723463334595482 0.581251545881771 0.668333189667557 0.552562236992174 0
"with" 0.614323227037974 0.740784522331895 0.703417692484135 0.75733052790591 0.606213112504003 0.694091037602488 0.631998075946661 0.614135290724634 0.593189686353537 0.518231534887197 0.55048969942587 0.596588371885326 0.580588161050107 0.589871007877439 0.613165531707037 0.568293546230385 0.570835495588998
"she" 0.399213201166633 0.315227456311445 0.426255829956419 1.63200345283375 0.619938692409754 0.657336726039016 0.93263141017076 0.859563206170759 0.889784529530305 0.313928718248975 0.302825621974558 0.328659462355988 0.466489965921999 0.591370044746251 0.479843691635779 0.515200377551422 0
"as" 0.572657771576408 0.584155879977146 0.529474730483982 0.511855628388768 0.530722423022373 0.480633305060786 0.439592742043238 0.434305619959962 0.447475843538469 0.655263911900639 0.659687042665766 0.596588371885326 0.689637763473432 0.674941350182508 0.708559606930437 0.709383725960593 0.259470679813181
"her" 0.440878656628199 0.432452666627263 0.441547518923465 1.36090205281757 0.57990575101798 0.629064178682499 0.827075706154298 0.636755375097549 0.794708830672247 0.222989049867328 0.335472250365867 0.369741895150487 0.454373343430519 0.669694721141667 0.486164985777088 0.527490462893774 0.103788271925272
"for" 0.702498958363613 0.71812754890951 0.721576573132502 0.579293787596774 0.593631330923732 0.518801243992084 0.506400149648593 0.513475915265164 0.457810158631737 0.459681337436 0.490825171676236 0.49388228989908 0.503849551937397 0.493557889056281 0.566043157199092 0.506843119518622 0.622729631551635
"my" 1.58134937937851 1.45891207124141 1.3341998623748 0.169944161204176 1.17582467859267 0.880689850155499 0.799016594960049 0.842598142891073 0.959024440655196 0.133295130367621 0.216143194866599 0.18219165847995 0.221633219739997 0.129291929935017 0.168950952504094 0.204998623510442 0
"they" 0.534868172436848 0.391079062986386 0.591597216912608 0.341911467184592 0.346570892620213 0.44529262086514 0.363432297373133 0.329122227625909 0.39373740505348 0.859566728538861 0.611279972982101 0.622488166473162 0.655812192351382 0.565136899542044 0.440191937476654 0.647441695835136 0.259470679813181
"him" 0.369175314671085 0.440333353035049 0.368911996329995 0.470718351271884 0.319119732808711 0.39440203562341 0.289944149007242 0.395851476526007 0.380302795432233 0.622874440970189 0.552741191039063 0.654639635616683 0.690647482014389 0.607484691085977 0.588455018245554 0.643508868525583 0.467047223663726
"me" 0.905981415268936 0.873771105463286 0.939483140912914 0.333144506487551 1.14036693050281 0.842521911224201 0.825739558002191 0.810930024768992 0.873249625381078 0.270327507381062 0.27693346842283 0.294721800482272 0.237788716395305 0.227104085624986 0.295376835330288 0.239410862469029 0.0518941359626362
"we" 0.615292191118475 0.578245365171306 0.820016820857864 0.165897871651695 0.531866221347852 0.790217698614645 0.613292001817161 0.778130902428266 0.673797344081021 0.335106449241962 0.368118878757177 0.378672858801465 0.273633724599268 0.42347791543933 0.339625894319455 0.452275140598576 0.155682407887909
"not" 0.465102758640737 0.384183462379573 0.423388638275097 0.42823231097084 0.338564304341858 0.298275374611252 0.382138371502632 0.348349299342887 0.303828863742055 0.291505238374049 0.283687943262411 0.245601500401893 0.347343178089108 0.596616673787092 0.652817285866161 0.587957682778149 0.778412039439543
"what" 0.398244237086131 0.412750950607798 0.422432907714657 0.354050335842033 0.379741044059112 0.431156347186882 0.36476844552524 0.430912607304025 0.395804268072134 0.478367570665105 0.435663627152989 0.411717424310083 0.407421431276032 0.453458652815566 0.42697468609028 0.424745349431706 0.155682407887909
"be" 0.568781915254401 0.591051480583959 0.486466855264164 0.337190796040031 0.356865077549526 0.308170766186033 0.372785334437882 0.352873316217469 0.376169069394926 0.454698341908238 0.444669593605764 0.394748593373225 0.408431149816989 0.413359416574851 0.439042611269143 0.374110197821214 0.155682407887909
"out" 0.42246833909867 0.459049983253541 0.409052679868491 0.412721534352998 0.394610422290342 0.333616058806898 0.419550519761631 0.399244489181945 0.347232987133778 0.463418584081821 0.439040864572779 0.451906760739484 0.396314527325508 0.372135902682526 0.36031376605465 0.367227750029496 0.570835495588998
"have" 0.577502591978915 0.513229702307071 0.508448658154293 0.366863586091554 0.313400741181315 0.316652530392988 0.312658667593063 0.352873316217469 0.310029452798016 0.369987417936292 0.320837554880108 0.320621595070108 0.340780007572889 0.35864457086322 0.46087980921185 0.399181971919613 0.0518941359626362
"up" 0.446692441111208 0.407825521602932 0.372734918571756 0.356747862210353 0.354577480898568 0.361888606163415 0.371449186285775 0.334777248719138 0.33379837751253 0.458435588554059 0.42440616908702 0.438510315263017 0.4478101729143 0.380755364678194 0.319512685688015 0.331832304243521 0.207576543850545
"from" 0.509675106343808 0.466930669661328 0.416698524352015 0.351352809473713 0.392322825639383 0.349165959852983 0.312658667593063 0.326860219188618 0.33069808298455 0.300225480547631 0.355735674884611 0.338483522372064 0.361479237662502 0.40436519536198 0.318363359480505 0.417371298226295 0.467047223663726
"all" 0.288751295989458 0.359556317355242 0.249445676274945 0.353375954249953 0.300818959601043 0.271416454622561 0.273910371181957 0.25447594919529 0.288327391102155 0.49456230613033 0.428909152313408 0.349200678753237 0.405906853464597 0.386001993719036 0.370083038818493 0.348055216895426 0.518941359626362
"were" 0.12015154598219 0.133971668932364 0.131890817340775 0.32100563783011 0.44379375028595 0.486287814532089 0.434248149434809 0.398113484963299 0.360667596755025 0.381199157873756 0.379376336823145 0.357238546039118 0.4478101729143 0.371386384248121 0.333879263281901 0.37607661147599 0.570835495588998
"is" 0.663740395143552 0.639320684831649 0.488378316385045 0.161851582099215 0.297387564624605 0.247384789369522 0.423558964217952 0.438829636834545 0.32139719940061 0.216760305457626 0.245412585838118 0.22684647673484 0.287769784172662 0.263455729693672 0.311467402235439 0.288079600424745 0.259470679813181
